lastmonth,ip,hostname,email_score,email_score_name,dnsmatch,blacklists,ip_int,lastday,blacklists_count,blacklists_snources,second_level_domain,third_level_domain,category
3.0356337588321693,89.96.188.11,89-96-188-11.ip13.fastwebnet.it,,Neutral,1,[object Object],1499511819,3.0627475153500248,0,,fastwebnet.it,ip13.fastwebnet.it,consumer
3.6393329858195167,89.96.188.102,mail.comune.rho.mi.it,,Good,1,[object Object],1499511910,3.664509125022895,0,,rho.mi.it,comune.rho.mi.it,enterprise
3.2075453699728054,89.96.188.230,89-96-188-230.ip13.fastwebnet.it,,Neutral,1,[object Object],1499512038,3.840500877953292,0,,fastwebnet.it,ip13.fastwebnet.it,consumer
4.19553646249979,89.96.188.242,89-96-188-242.ip13.fastwebnet.it,,Good,1,[object Object],1499512050,4.919648950225405,0,,fastwebnet.it,ip13.fastwebnet.it,consumer
3.441780716928405,89.96.189.86,89-96-189-86.ip13.fastwebnet.it,,Neutral,1,[object Object],1499512150,0,0,,fastwebnet.it,ip13.fastwebnet.it,consumer
3.0658774568751177,89.96.193.197,posta.asst-fbf-sacco.it,,Good,1,[object Object],1499513285,4.016592137008973,0,,asst-fbf-sacco.it,posta.asst-fbf-sacco.it,enterprise
3.01426479241099,89.96.195.186,89-96-195-186.ip13.fastwebnet.it,,Neutral,1,[object Object],1499513786,3.7612400105869175,0,,fastwebnet.it,ip13.fastwebnet.it,consumer
4.122536047473066,89.96.202.170,89-96-202-170.ip14.fastwebnet.it,,Good,1,[object Object],1499515562,4.341061324384862,0,,fastwebnet.it,ip14.fastwebnet.it,consumer
3.5656966176364158,89.96.203.76,mail.metroweb.it,,Good,1,[object Object],1499515724,0,0,,metroweb.it,mail.metroweb.it,enterprise
3.4922170268336417,89.96.203.138,mailfw.giorgioarmani.it,,Good,1,[object Object],1499515786,3.9073339183737463,0,,giorgioarmani.it,mailfw.giorgioarmani.it,enterprise
3.175985863423143,89.96.203.172,mail.vedanimetalli.it,,Good,1,[object Object],1499515820,3.7612400105869175,0,,vedanimetalli.it,mail.vedanimetalli.it,enterprise
3.270170080796694,89.96.208.233,mx3.hsgerardo.org,,Good,0,[object Object],1499517161,4.141530873617273,0,,hsgerardo.org,mx3.hsgerardo.org,enterprise
3.843143341685644,89.96.212.130,mail.aogarbagnate.lombardia.it,,Good,1,[object Object],1499518082,4.103706123028931,0,,aogarbagnate.lombardia.it,mail.aogarbagnate.lombardia.it,enterprise
3.457954281882641,89.96.212.244,efesto.uniecampus.it,,Neutral,1,[object Object],1499518196,3.9073339183737463,0,,uniecampus.it,efesto.uniecampus.it,enterprise
2.973281640407002,89.96.212.249,debra.uniecampus.it,,Neutral,1,[object Object],1499518201,3.5394708822893106,0,,uniecampus.it,debra.uniecampus.it,enterprise
3.009027037677979,89.96.218.226,posta.comune.cinisello-balsamo.mi.it,,Neutral,1,[object Object],1499519714,0,0,,cinisello-balsamo.mi.it,comune.cinisello-balsamo.mi.it,enterprise
3.707878540797515,89.96.219.154,webmail.gruppopellegrini.it,,Good,1,[object Object],1499519898,4.103706123028931,0,,gruppopellegrini.it,webmail.gruppopellegrini.it,enterprise
